DATA;corrente_neutro;corrente_f1;corrente_f2;corrente_f3;tensao_f1;tensao_f2;tensao_f3
23/03/2022 08:01;;;;;;;
23/03/2022 08:00;9.25;4.06;3.27;1.93;251.5;251.3;251.5
23/03/2022 08:00;;;;;;;
23/03/2022 08:00;;;;;;;
23/03/2022 07:59;9.21;4.03;3.25;1.93;251.7;251.6;251.7
23/03/2022 07:59;9.0;3.94;3.11;1.95;251.5;251.4;251.5
23/03/2022 07:59;;;;;;;
23/03/2022 07:58;;;;;;;
23/03/2022 07:58;9.26;4.06;3.22;1.98;251.1;250.9;251.3
23/03/2022 07:58;;;;;;;
23/03/2022 07:57;;;;;;;
23/03/2022 07:57;9.25;4.06;3.24;1.94;251.6;251.4;251.4
23/03/2022 07:57;;;;;;;
23/03/2022 07:56;;;;;;;
23/03/2022 07:56;9.22;4.04;3.29;1.9;251.5;251.4;251.3
